City,Count,Coordinates,Longitude,Latitude,Region
zurich ,130,"(47.373754, 8.537087)",8.537087,47.373754,1
basel ,57,"(47.553808, 7.592036)",7.592036,47.553808,1
bern ,47,"(46.946416, 7.396394)",7.396394,46.946416,1
st. gallen ,38,"(47.115369, 9.331092)",9.331092,47.115369,1
zug ,29,"(47.165074, 8.51961)",8.51961,47.165074,1
luzern ,26,"(47.04791, 8.303928)",8.303928,47.04791,1
genf ,18,"(46.201511, 6.143889)",6.143889,46.201511,2
baden ,9,"(47.4729, 8.308)",8.3080,47.4729,1
freiburg ,9,"(46.805487, 7.162118)",7.162118,46.805487,2
schaffhausen ,8,"(47.702296, 8.627974)",8.627974,47.702296,1
winterthur ,8,"(47.499693, 8.728495)",8.728495,47.499693,1
solothurn ,8,"(47.2081, 7.5163)",7.5163,47.2081,1
lugano ,7,"(46.009425, 8.941339)",8.941339,46.009425,3
lausanne ,7,"(46.520381, 6.63141)",6.63141,46.520381,2
thun ,6,"(46.753651, 7.625314)",7.625314,46.753651,1
spreitenbach,5,"(47.418359, 8.369214)",8.369214,47.418359,1
glarus,5,"(47.041178, 9.070819)",9.070819,47.041178,1
wil ,5,"(47.46152, 9.04552)",9.04552,47.46152,1
chur ,5,"(46.850722, 9.53171)",9.53171,46.850722,1
aarau ,5,"(47.391687, 8.053387)",8.053387,47.391687,1
ittigen,5,"(46.980255, 7.478193)",7.478193,46.980255,1
kreuzlingen,4,"(47.641449, 9.171512)",9.171512,47.641449,1
frauenfeld ,4,"(47.559016, 8.897041)",8.897041,47.559016,1
wald,3,"(47.27259, 8.914172)",8.914172,47.27259,1
schwyz ,3,"(47.0205, 8.6583)",8.6583,47.0205,1
munsingen,3,"(48.409976, 9.496439)",9.496439,48.409976,1
liestal ,3,"(47.481766, 7.731582)",7.731582,47.481766,1
neuenburg ,3,"(46.991046, 6.931647)",6.931647,46.991046,2
einsiedeln,3,"(47.129714, 8.745461)",8.745461,47.129714,1
davos,3,"(46.8091, 9.8398)",9.8398,46.8091,1
kloten,3,"(47.45152, 8.58491)",8.58491,47.45152,1
lenzburg ,3,"(47.388748, 8.17853)",8.17853,47.388748,1
arbon ,3,"(47.514603, 9.432618)",9.432618,47.514603,2
wallisellen,2,"(47.41499, 8.59672)",8.59672,47.41499,1
montreux,2,"(46.43423, 6.911558)",6.911558,46.43423,2
olten ,2,"(47.349106, 7.910283)",7.910283,47.349106,1
muri bei bern,2,"(46.930739, 7.500468)",7.500468,46.930739,1
muttenz,2,"(47.523393, 7.648065)",7.648065,47.523393,1
flawil,2,"(47.41568, 9.189439)",9.189439,47.41568,1
weinfelden,2,"(47.566894, 9.104073)",9.104073,47.566894,1
pratteln,2,"(47.518095, 7.689088)",7.689088,47.518095,1
sursee ,2,"(47.175697, 8.10871)",8.10871,47.175697,1
bulach ,2,"(47.52357, 8.53692)",8.53692,47.52357,1
dietikon,2,"(47.40165, 8.40015)",8.40015,47.40165,1
baar,1,"(47.197215, 8.522267)",8.522267,47.197215,1
burgdorf ,1,"(47.0567, 7.6264)",7.6264,47.0567,1
birsfelden,1,"(47.550784, 7.636283)",7.636283,47.550784,1
lyss,1,"(47.073977, 7.306518)",7.306518,47.073977,1
pfaffikon,1,"(47.36689, 8.785993)",8.785993,47.36689,1
oberwil ,1,"(47.516869, 7.550769)",7.550769,47.516869,1
steinhausen,1,"(47.195526, 8.478206)",8.478206,47.195526,1
bassersdorf,1,"(47.438771, 8.625914)",8.625914,47.438771,1
herisau,1,"(47.390936, 9.279804)",9.279804,47.390936,1
brugg ,1,"(47.483043, 8.204365)",8.204365,47.483043,1
martigny ,1,"(46.103064, 7.079643)",7.079643,46.103064,2
wettingen,1,"(47.469611, 8.330836)",8.330836,47.469611,1
sarnen ,1,"(46.895035, 8.248186)",8.248186,46.895035,2
volketswil,1,"(47.389523, 8.673712)",8.673712,47.389523,2
horgen,1,"(47.261948, 8.596927)",8.596927,47.261948,1
wadenswil,1,"(47.229508, 8.671706)",8.671706,47.229508,1
opfikon,1,"(47.43169, 8.57588)",8.57588,47.43169,1
richterswil,1,"(47.205187, 8.706905)",8.706905,47.205187,1
kriens,1,"(47.03537, 8.27631)",8.27631,47.03537,1
cham,1,"(49.221966, 12.662355)",12.662355,49.221966,2
schlieren,1,"(47.39668, 8.44763)",8.44763,47.39668,1
bulle ,1,"(46.618011, 7.055307)",7.055307,46.618011,2
ruti,1,"(47.259754, 8.849946)",8.849946,47.259754,1
riehen,1,"(47.579484, 7.651243)",7.651243,47.579484,1
sitten ,1,"(46.230456, 7.363129)",7.363129,46.230456,2
hinwil,1,"(47.299839, 8.839614)",8.839614,47.299839,1
payerne ,1,"(46.820755, 6.938857)",6.938857,46.820755,2
reinach,1,"(47.258426, 8.179858)",8.179858,47.258426,1
dubendorf,1,"(47.39724, 8.61872)",8.61872,47.39724,1
uster,1,"(47.351078, 8.717768)",8.717768,47.351078,1
gossau,1,"(47.411712, 9.251598)",9.251598,47.411712,1
buchs,1,"(47.16743, 9.47794)",9.47794,47.16743,1